PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
trim/foam envelope,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
backrest thickness,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
hinge pivot location,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
pivot axis,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
end-stop locations,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
torso support geometry,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
head-support envelope,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
link centre positions,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail width,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail height,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
runner dimensions,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
capture/retention geometry,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
parallelism,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
alignment,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
mounting-hole locations,130L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
total length,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total width,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total height,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
folded/rotated envelope,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
section geometry,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
wall thickness,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
plate thickness,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
hole size,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
edge distance,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
radii,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
offsets,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
interface locations,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
reference datums,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right ride-down energy-management module engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
front edge position,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
effective cushion length,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
pelvic ramp geometry,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
anti-submarining geometry,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
cushion thickness,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
structural pan thickness,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
trim/foam envelope,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
backrest thickness,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
hinge pivot location,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
pivot axis,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
end-stop locations,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
torso support geometry,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
head-support envelope,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
link centre positions,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail width,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail height,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
runner dimensions,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
capture/retention geometry,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
parallelism,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
alignment,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
mounting-hole locations,130R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right ride-down energy-management module engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
total length,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total width,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total height,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
folded/rotated envelope,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
section geometry,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
wall thickness,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
plate thickness,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
hole size,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
edge distance,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
radii,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
offsets,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
interface locations,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
reference datums,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
front edge position,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
effective cushion length,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
pelvic ramp geometry,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
anti-submarining geometry,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
cushion thickness,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
structural pan thickness,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
trim/foam envelope,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Pelvic-control / anti-submarining pan engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
backrest thickness,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
hinge pivot location,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
pivot axis,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
end-stop locations,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
torso support geometry,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
head-support envelope,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
link centre positions,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail width,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail height,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
runner dimensions,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
capture/retention geometry,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
parallelism,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
alignment,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
mounting-hole locations,140,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Pelvic-control / anti-submarining pan engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
total length,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total width,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total height,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
folded/rotated envelope,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
section geometry,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
wall thickness,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
plate thickness,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
hole size,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
edge distance,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
radii,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
offsets,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
interface locations,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
reference datums,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
front edge position,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
effective cushion length,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
pelvic ramp geometry,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
anti-submarining geometry,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
cushion thickness,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
structural pan thickness,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
trim/foam envelope,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
backrest thickness,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
